"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT05176639,PHASE3,COMPLETED,2022,Poland,false
NCT05176639,PHASE3,COMPLETED,2022,Spain,false
NCT05176639,PHASE3,COMPLETED,2022,United Kingdom,true
NCT05176639,PHASE3,COMPLETED,2022,United States,false
NCT05176665,PHASE1/PHASE2,RECRUITING,2021,China,false
NCT05176665,PHASE1/PHASE2,RECRUITING,2021,United States,false
NCT05176691,PHASE1,WITHDRAWN,2022,Australia,false
NCT05176691,PHASE1,WITHDRAWN,2022,France,false
NCT05176691,PHASE1,WITHDRAWN,2022,Israel,false
NCT05176691,PHASE1,WITHDRAWN,2022,Italy,false
NCT05176691,PHASE1,WITHDRAWN,2022,Poland,false
NCT05176691,PHASE1,WITHDRAWN,2022,Spain,false
NCT05176691,PHASE1,WITHDRAWN,2022,United States,false
NCT05176717,PHASE2/PHASE3,TERMINATED,2021,United Kingdom,true
NCT05176717,PHASE2/PHASE3,TERMINATED,2021,United States,false
NCT05176873,PHASE1,COMPLETED,2021,United States,false
NCT05176951,PHASE2,COMPLETED,2022,Argentina,false
NCT05176951,PHASE2,COMPLETED,2022,Australia,false
NCT05176951,PHASE2,COMPLETED,2022,Belgium,false
NCT05176951,PHASE2,COMPLETED,2022,Germany,false
NCT05176951,PHASE2,COMPLETED,2022,Italy,false
NCT05176951,PHASE2,COMPLETED,2022,Spain,false
NCT05176951,PHASE2,COMPLETED,2022,United Kingdom,true
NCT05177029,PHASE1,TERMINATED,2021,Japan,false
NCT05177042,PHASE1,COMPLETED,2022,Canada,false
NCT05177042,PHASE1,COMPLETED,2022,France,false
NCT05177042,PHASE1,COMPLETED,2022,United Kingdom,true
NCT05177042,PHASE1,COMPLETED,2022,United States,false
NCT05177094,PHASE2,COMPLETED,2022,Puerto Rico,false
NCT05177094,PHASE2,COMPLETED,2022,United States,false
NCT05177107,PHASE2,TERMINATED,2021,United States,false
NCT05177770,PHASE2,TERMINATED,2022,Canada,false
NCT05177770,PHASE2,TERMINATED,2022,United States,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Austria,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Belgium,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Canada,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Czechia,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,France,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Germany,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Hungary,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Italy,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Poland,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Serbia,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Slovakia,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Slovenia,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Spain,false
NCT05177835,PHASE2,ACTIVE_NOT_RECRUITING,2021,Ukraine,false
NCT05177939,PHASE3,UNKNOWN,2022,Japan,false
NCT05178043,PHASE2,UNKNOWN,2021,United States,false
NCT05178134,PHASE2,COMPLETED,2021,Sweden,false
NCT05178316,PHASE2,COMPLETED,2021,United States,false
NCT05178355,PHASE1,COMPLETED,2019,United Kingdom,true
NCT05178550,EARLY_PHASE1,COMPLETED,2021,Netherlands,false
NCT05178810,PHASE3,COMPLETED,2021,Belgium,false
NCT05178810,PHASE3,COMPLETED,2021,France,false
NCT05178810,PHASE3,COMPLETED,2021,Germany,false
NCT05178810,PHASE3,COMPLETED,2021,Ireland,false
NCT05178810,PHASE3,COMPLETED,2021,Italy,false
NCT05178810,PHASE3,COMPLETED,2021,Netherlands,false
NCT05178810,PHASE3,COMPLETED,2021,Poland,false
NCT05178810,PHASE3,COMPLETED,2021,Portugal,false
NCT05178810,PHASE3,COMPLETED,2021,Spain,false
NCT05178810,PHASE3,COMPLETED,2021,Sweden,false
NCT05178810,PHASE3,COMPLETED,2021,United Kingdom,true
NCT05178862,PHASE3,TERMINATED,2022,Belgium,false
NCT05178862,PHASE3,TERMINATED,2022,Bulgaria,false
NCT05178862,PHASE3,TERMINATED,2022,Canada,false
NCT05178862,PHASE3,TERMINATED,2022,China,false
NCT05178862,PHASE3,TERMINATED,2022,France,false
NCT05178862,PHASE3,TERMINATED,2022,Germany,false
NCT05178862,PHASE3,TERMINATED,2022,Greece,false
NCT05178862,PHASE3,TERMINATED,2022,Israel,false
NCT05178862,PHASE3,TERMINATED,2022,Italy,false
NCT05178862,PHASE3,TERMINATED,2022,South Africa,false
NCT05178862,PHASE3,TERMINATED,2022,South Korea,false
NCT05178862,PHASE3,TERMINATED,2022,Spain,false
NCT05178862,PHASE3,TERMINATED,2022,United States,false
NCT05178888,PHASE1,COMPLETED,2022,United States,false
NCT05178901,PHASE1,COMPLETED,2022,United States,false
NCT05179057,PHASE3,TERMINATED,2022,Canada,false
NCT05179057,PHASE3,TERMINATED,2022,Italy,false
NCT05179057,PHASE3,TERMINATED,2022,Spain,false
NCT05179057,PHASE3,TERMINATED,2022,Sweden,false
NCT05179057,PHASE3,TERMINATED,2022,United Kingdom,true
NCT05179057,PHASE3,TERMINATED,2022,United States,false
NCT05179226,PHASE3,RECRUITING,2022,United States,false
NCT05179239,PHASE3,TERMINATED,2022,China,false
NCT05179265,PHASE1,COMPLETED,2021,China,false
NCT05179317,PHASE2,UNKNOWN,2021,China,false
NCT05179525,PHASE1,COMPLETED,2021,United States,false
NCT05179603,PHASE2,TERMINATED,2021,Argentina,false
NCT05179603,PHASE2,TERMINATED,2021,Chile,false
NCT05179603,PHASE2,TERMINATED,2021,Spain,false
NCT05179876,PHASE3,RECRUITING,2022,Belarus,false
NCT05179876,PHASE3,RECRUITING,2022,Belgium,false
NCT05179876,PHASE3,RECRUITING,2022,Bulgaria,false
NCT05179876,PHASE3,RECRUITING,2022,China,false
NCT05179876,PHASE3,RECRUITING,2022,Hungary,false
NCT05179876,PHASE3,RECRUITING,2022,Poland,false
NCT05179876,PHASE3,RECRUITING,2022,Russia,false
NCT05179876,PHASE3,RECRUITING,2022,South Africa,false
NCT05179876,PHASE3,RECRUITING,2022,South Korea,false
NCT05179876,PHASE3,RECRUITING,2022,Taiwan,false
NCT05179876,PHASE3,RECRUITING,2022,Thailand,false
NCT05179876,PHASE3,RECRUITING,2022,Ukraine,false
NCT05179876,PHASE3,RECRUITING,2022,Vietnam,false
NCT05180240,PHASE2,COMPLETED,2022,Brazil,false
NCT05180240,PHASE2,COMPLETED,2022,Canada,false
NCT05180240,PHASE2,COMPLETED,2022,France,false
NCT05180240,PHASE2,COMPLETED,2022,Israel,false
NCT05180240,PHASE2,COMPLETED,2022,United States,false
NCT05180422,PHASE1/PHASE2,WITHDRAWN,2022,United States,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Belgium,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Denmark,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,France,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Italy,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Netherlands,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Poland,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,Spain,false
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,United Kingdom,true
NCT05180474,PHASE1/PHASE2,TERMINATED,2021,United States,false
NCT05180526,PHASE4,UNKNOWN,2021,China,false
NCT05180708,PHASE3,COMPLETED,2021,United Kingdom,true
NCT05180708,PHASE3,COMPLETED,2021,United States,false
NCT05180799,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,2022,Australia,false
NCT05180799,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05180890,PHASE1,COMPLETED,2022,Australia,false
NCT05181007,PHASE1,COMPLETED,2021,China,false
NCT05181085,PHASE1,COMPLETED,2021,United Kingdom,true
NCT05181124,PHASE1,COMPLETED,2021,South Korea,false
NCT05181137,PHASE3,UNKNOWN,2021,China,false
NCT05181137,PHASE3,UNKNOWN,2021,Georgia,false
NCT05181137,PHASE3,UNKNOWN,2021,Poland,false
NCT05181137,PHASE3,UNKNOWN,2021,Ukraine,false
NCT05181137,PHASE3,UNKNOWN,2021,United States,false
NCT05181215,PHASE1,COMPLETED,2021,United States,false
NCT05181462,PHASE1/PHASE2,COMPLETED,2022,Spain,false
NCT05181475,PHASE4,ACTIVE_NOT_RECRUITING,2021,China,false
NCT05181501,PHASE1,NOT_YET_RECRUITING,2022,China,false
NCT05181540,PHASE3,TERMINATED,2022,United States,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Brazil,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Canada,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Germany,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Hungary,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Italy,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Morocco,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Serbia,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Spain,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Tunisia,false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,Turkey (Türkiye),false
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,United Kingdom,true
NCT05181618,PHASE4,ACTIVE_NOT_RECRUITING,2022,United States,false
NCT05181683,PHASE1,COMPLETED,2022,United States,false
NCT05181995,PHASE2/PHASE3,TERMINATED,2021,United States,false
NCT05182034,PHASE2,COMPLETED,2022,South Korea,false
NCT05182047,PHASE1,WITHDRAWN,2022,Russia,false
NCT05182073,PHASE1,COMPLETED,2021,United States,false
NCT05182476,PHASE2,TERMINATED,2021,Bulgaria,false
NCT05182476,PHASE2,TERMINATED,2021,Czechia,false
